communication management	social obligations management	task	feedback-value	feedback	sentiment	sentiment-value	opinion	opinion-value	emotion	emotion-value	knowledge	discourse structure management	partiality	conditionality	certainty	irony	date	time	participant	segment	raw
	greetings																sam. nov. 01 2014	00:54	tijul	Bonsoir	Bonsoir
					inform	unsatisfied						introduceTopic					sam. nov. 01 2014	00:58	tijul	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530.
					inform	unsatisfied													\	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation , celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine .	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation, celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine.
		requestForDirective																	\	que faire ?	que faire?
	greetings																sam. nov. 01 2014	01:03	tijul	Bonsoir ,	Bonsoir,
					inform	unsatisfied						introduceTopic							\	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530 .	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530.
					inform	unsatisfied													\	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation , celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine .	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation, celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine.
		requestForDirective																	\	que faire ?	que faire?
	greetings																sam. nov. 01 2014	01:32	tijul	Bonsoir ,	Bonsoir,
					inform	unsatisfied						introduceTopic							\	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530 .	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530.
					inform	unsatisfied													\	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation , celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine .	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation, celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine.
		requestForDirective																	\	que faire ?	que faire?
		answerByRequestForAction													certain		sam. nov. 01 2014	01:35	Corwin_	lis la doc .	lis la doc.
			execution	answerNegatively	inform	unsatisfied											sam. nov. 01 2014	01:36	tijul	Je l'ai lu et respecte a la lettre et pourtant ce n'est toujours pas bon	Je l'ai lu et respecte a la lettre et pourtant ce n'est toujours pas bon
		requestForInformation													uncertain		sam. nov. 01 2014	01:39	Corwin_	j'imagine que tu dois avoir un choix d'install manuelle pour avoir le choix de la partition	j'imagine que tu dois avoir un choix d'install manuelle pour avoir le choix de la partition
