Communication Management	Social Obligations Management	Task Management	Feedback Management-value	Feedback Management	Sentiment Management	Sentiment Management-value	Opinion Management	Opinion Management-value	Emotion Management	Emotion Management-value	Knowledge Management	Discourse Structure Management	Partiality	Conditionality	Certainty	Irony	datetime	participant	segment	raw
	greetings																nov. 01 2014 00:54	tijul	Bonsoir	Bonsoir
					inform	unsatisfied						introduceTopic					nov. 01 2014 00:58	tijul	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530.
					inform	unsatisfied											 	\	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation , celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine .	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation, celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine.
		requestForDirective															 	\	que faire ?	que faire?
	greetings																nov. 01 2014 01:03	tijul	Bonsoir ,	Bonsoir,
					inform	unsatisfied						introduceTopic					 	\	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530 .	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530.
					inform	unsatisfied											 	\	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation , celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine .	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation, celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine.
		requestForDirective															 	\	que faire ?	que faire?
	greetings																nov. 01 2014 01:32	tijul	Bonsoir ,	Bonsoir,
					inform	unsatisfied						introduceTopic					 	\	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530 .	J'ai un probleme lors de l'installation de Ubuntu sur mon fujitsu lifebook q530.
					inform	unsatisfied											 	\	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation , celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine .	Je cree comme indiquer une partition libre pour installer Ubuntu mais lorsaue je le lance l'installation, celui ci me dit que je ne dispose d'aucun systeme d'exploitation alors que j'ai windows 7 x64 sur ma machine.
		requestForDirective															 	\	que faire ?	que faire?
		answerByRequestForAction													certain		nov. 01 2014 01:35	Corwin_	lis la doc .	lis la doc.
			execution	answerNegatively	inform	unsatisfied											nov. 01 2014 01:36	tijul	Je l'ai lu et respecte a la lettre et pourtant ce n'est toujours pas bon	Je l'ai lu et respecte a la lettre et pourtant ce n'est toujours pas bon
		requestForInformation													uncertain		nov. 01 2014 01:39	Corwin_	j'imagine que tu dois avoir un choix d'install manuelle pour avoir le choix de la partition	j'imagine que tu dois avoir un choix d'install manuelle pour avoir le choix de la partition
		requestForAction															nov. 01 2014 01:40	Corwin_	fais ça et installe ubuntu sur la partition que tu as créée avant	fais ça et installe ubuntu sur la partition que tu as créée avant
		answer															nov. 01 2014 01:43	tijul	Et bien en faite lors de l'installation , j'ai le choix entre formater le disque ou creer de nouvelle partition .	Et bien en faite lors de l'installation, j'ai le choix entre formater le disque ou creer de nouvelle partition.
		inform															 	\	Mais je ne sais pas si creer de nouvelle partition supprimerra windows de sur ma machine	Mais je ne sais pas si creer de nouvelle partition supprimerra windows de sur ma machine
		inform															 	\	et dans la doc , sur les images , l'installateur presente trois choix dont celui d'installer ubuntu a cote des autres systemes d'exploitation .	et dans la doc, sur les images, l'installateur presente trois choix dont celui d'installer ubuntu a cote des autres systemes d'exploitation.
		inform			inform	unsatisfied											 	\	Mais moi je n'ai pas ce choix	Mais moi je n'ai pas ce choix.
			execution	answerPositively													nov. 01 2014 01:46	Corwin_	ah ouais d'accord .	"ah ouais d'accord. Donc tu as peur qu'une option qui s'appelle ""creer"" supprime un truc"
									inform	fear						ironie	 	\	"Donc tu as peur qu'une option qui s'appelle "" creer "" supprime un truc"	
									inform	happy							nov. 01 2014 01:46	Twoll	xD	xD
			evaluation	answerPositively													nov. 01 2014 01:47	tijul	J'ai peur que lors de la creation , il decide de supprimer windows oui .	J'ai peur que lors de la creation, il decide de supprimer windows oui.
		correct															nov. 01 2014 01:49	Corwin_	nan mais non . 01:49 (Corwin_)>+ Il fait rien tout seul , ok y'a des boutons c'est fancy et tout , mais il va pas décider de supprimer Windows,	nan mais non. Il fait rien tout seul, ok y'a des boutons c'est fancy et tout, mais il va pas décider de supprimer Windows, Ubuntu c'est pas la meilleure distrib, mais ils ont pas codé le délit de sale gueule dans l'installateur :D
							inform	depreciate									 	\	Ubuntu c'est pas la meilleure distrib ,	
							inform	promote									 	\	mais ils ont pas codé le délit de sale gueule dans l'installateur : D	
														conditional	uncertain		nov. 01 2014 01:50	Corwin_	il se peut qu'il te demande de supprimer une partition 01:50 (Corwin_)> mais seulement si tu as une partition table en MBR et que t'as déjà 4 partitions	il se peut qu'il te demande de supprimer une partition
																	nov. 01 2014 01:50	Corwin_		mais seulement si tu as une partition table en MBR et que t'as déjà 4 partitions
		inform															nov. 01 2014 01:51	tijul	Il me demande de selectionner un peripherique pour l'installation du programme de demarrage	Il me demande de selectionner un peripherique pour l'installation du programme de demarrage
		requestForAction															nov. 01 2014 01:52	Corwin_	donc là tu dois sélectionner un disque dur 01:52 (Corwin_)> (ou autre chose mais un dd c'est bien )	donc là tu dois sélectionner un disque dur
																	nov. 01 2014 01:52	Corwin_		(ou autre chose mais un dd c'est bien)
		requestForDirectives															nov. 01 2014 01:52	tijul	Je choisi quoi ?	Je choisi quoi? Sachant que j'ai un partition system (pour windows) une data et un espace libre creer comme demader dans le tuto
		inform												conditional			 	\	Sachant que j'ai un partition system ( pour windows ) une data et un espace libre creer comme demader dans le tuto	
		answerByRequestForAction												conditional			nov. 01 2014 01:53	Corwin_	donc là tu dois sélectionner un disque dur	donc là tu dois sélectionner un disque dur
			execution	answerNegatively													nov. 01 2014 01:55	tijul	J'ai deja choisi le dd	J'ai deja choisi le dd, mais comme il s'apelle espace libre, l'installateur n'en veut pas. Je dois le mettre sous quel format pour qu'il l'accepte?
					inform	unsatisfied											 	\	mais comme il s'apelle espace libre , l'installateur n'en veut pas.	
		requestForDirective															 	\	Je dois le mettre sous quel format pour qu'il l'accepte ?	
			evaluation	answerNegatively													nov. 01 2014 01:55	Corwin_	wat	wat
			evaluation	correct													nov. 01 2014 01:56	Corwin_	je te parle d'un périphérique physique , pas d'une partition .	je te parle d'un périphérique physique, pas d'une partition.
			execution	answerPositively													nov. 01 2014 01:56	tijul	Ah ok	Ah ok
		inform															nov. 01 2014 01:58	tijul	Quelque soit ce que je choisi , il me dit qu'aucun systeme de fichiers n'a ete choisi comme racine .	Quelque soit ce que je choisi, il me dit qu'aucun systeme de fichiers n'a ete choisi comme racine.
		requestForAction															nov. 01 2014 01:58	Corwin_	alors choisi un système de fichier comme racine	alors choisi un système de fichier comme racine
		inform															nov. 01 2014 01:59	Corwin_	t'as des boutons pour ça	t'as des boutons pour ça
									inform	disgust							nov. 01 2014 01:59	Corwin_	y'a des boutons partout , c'est horrible cette distrib	y'a des boutons partout, c'est horrible cette distrib
		requestForDirective															nov. 01 2014 02:01	tijul	Je met le disque en fat 32 ?	Je met le disque en fat 32? enfin la partition que je selectionne pour installer.
		inform															 	\	enfin la partition que je selectionne pour installer .	
		requestForInformation															nov. 01 2014 02:03	Corwin_	mais t'as pas un tuto pour ça ?	mais t'as pas un tuto pour ça ? Je te conseille plutôt de l'ext4 mais bon.
		requestForAction															 	\	Je te conseille plutôt de l'ext4 mais bon .	
		answerPositively															nov. 01 2014 02:04	tijul	Si	Si mais j'ai pas vu tout sa dans le tuto et je parle par mon telephone pour le faire en meme temps.
		answer															 	\	mais j'ai pas vu tout sa dans le tuto et je parle par mon telephone pour le faire en meme temps .	
		requestForDirective															nov. 01 2014 02:04	tijul	Je met quoi comme point de montage . 02:04 (tijul)> ?	Je met quoi comme point de montage.
																	nov. 01 2014 02:04	tijul		?
																	nov. 01 2014 02:06	Corwin_	tu installes ubuntu sur une seule partition ?	tu installes ubuntu sur une seule partition ?
									inform	love							nov. 01 2014 02:07	tijul	Oui , je veux conserver windows quand meme pour le moment	Oui, je veux conserver windows quand meme pour le moment
																	nov. 01 2014 02:10	Corwin_	donc tu mets le point de montage sur la partition en question	donc tu mets le point de montage sur la partition en question
																	nov. 01 2014 02:10	tijul	Lequel ?	Lequel?
		requestForInformation	evaluation	answerNegatively													nov. 01 2014 02:11	Corwin_	comment ça lequel ?	comment ça lequel ?
																	nov. 01 2014 02:12	tijul	Pour le point de montage , j'ai le choix entre plusieurs point de montages	Pour le point de montage, j'ai le choix entre plusieurs point de montages
		answer	execution	requestForInformation													nov. 01 2014 02:12	Corwin_	/ ?	/ ?
																	nov. 01 2014 02:13	tijul	j'ai different choix	j'ai different choix
																	nov. 01 2014 02:13	tijul	je met quoi ? 02:14 (tijul)> ( /, / home , / boot et etc)	je met quoi?
																	nov. 01 2014 02:14	tijul		( /, /home, /boot et etc)
																	nov. 01 2014 02:16	tijul	desole mauvaise manip	desole mauvaise manip
		answer	execution	requestForInformation													nov. 01 2014 02:21	Corwin_	/ ?	/ ?
																	nov. 01 2014 03:06	plaosap	hi	hi
																	nov. 01 2014 03:07	plaosap	i 'm a new user of lubuntu	i'm a new user of lubuntu and i use the console mode but have some difficulties
					inform	unsatisfied						introduceTopic					 	\	and i use the console mode but have some difficulties	
		requestForHelp															nov. 01 2014 03:07	plaosap	someone can help ?	someone can help ?
																	nov. 01 2014 10:05	gaara	salut	salut
		requestForInformation										introduceTopic					nov. 01 2014 10:08	gaara	le forum n'est plus accessible ?	le forum n'est plus accessible ?
																	nov. 01 2014 10:09	nW44b	on dirait	on dirait
															uncertain		nov. 01 2014 10:09	nW44b	ça va surement vite revenir	ça va surement vite revenir
			execution	answerPositively													nov. 01 2014 10:10	gaara	ok	ok merci
																	 	\	merci	
																	nov. 01 2014 10:10	nesthib	petit soucis de sql	petit soucis de sql
																	nov. 01 2014 10:11	nesthib	j'essaie de voir ce qui ne va pas	j'essaie de voir ce qui ne va pas
																	nov. 01 2014 10:22	davlefou	Bonjour ,	Bonjour,
		requestForInformation	interpretation	answerNegatively								introduceTopic					nov. 01 2014 10:22	davlefou	sql ?	sql?
		requestForInformation										introduceTopic					nov. 01 2014 10:22	davlefou	Es ce que firefox os marche bien avec linux ?	Es ce que firefox os marche bien avec linux?
																	nov. 01 2014 10:34	nW44b	sql c'est un langage servant à exploiter des bases de données	sql c'est un langage servant à exploiter des bases de données
									inform	unhappy							nov. 01 2014 10:34	nesthib	les pauvres bases de données !	les pauvres bases de données !
									inform	anger							nov. 01 2014 10:36	nW44b	LIBÉREZ LES BASES DE DONNÉES !	LIBÉREZ LES BASES DE DONNÉES !
					inform	satisfied									uncertain		nov. 01 2014 10:44	nesthib	le forum devrait être à nouveau opérationnel	le forum devrait être à nouveau opérationnel
		inform															nov. 01 2014 10:46	gaara	j'ai cette erreur :	"j'ai cette erreur: ""Error: Unable to delete expired ban."" Je suis banni ? :o"
																	 	\	Error : 10:46 (gaara)>+ Unable to delete expired ban .	
																	 	\	Je suis banni ?	
									inform	negativeSurprise							 	\	:o	
		correct															nov. 01 2014 10:54	nesthib	non gaara , c'était la cause du blocage	non gaara, c'était la cause du blocage
		correct							inform	happy							nov. 01 2014 10:54	nesthib	rien à voir avec toi ;)	rien à voir avec toi ;)
																	nov. 01 2014 10:55	nesthib	toutefois si tu avais à nouveau des erreurs , tu peux le signaler	toutefois si tu avais à nouveau des erreurs, tu peux le signaler
		inform			inform	unsatisfied											nov. 01 2014 10:56	yann2	le forum est encore down ici aussi	le forum est encore down ici aussi
		requestForAction															nov. 01 2014 10:56	nesthib	tu peux fermer ton navigateur ( éventuellement vider le cache ) et recommencer ?	tu peux fermer ton navigateur (éventuellement vider le cache) et recommencer ?
		commit															nov. 01 2014 10:57	gaara	je vais essayer aussi	je vais essayer aussi
		answerPositively															nov. 01 2014 10:57	nesthib	ah oui tiens	ah oui tiens
		answerPositively															nov. 01 2014 10:57	yann2	yup essayé avec un autre browser	yup essayé avec un autre browser, meme chose - nesthib c est peut etre du au fait que je ne suis pas logué et toi si?
					inform	unsatisfied											 	\	meme chose	
																	 	\	nesthib c est peut etre du au fait que je ne suis pas logué et toi si ?	
																	nov. 01 2014 10:58	nesthib	quand je me connecte depuis une autre session j'ai la même chose	quand je me connecte depuis une autre session j'ai la même chose
					inform	unsatisfied											nov. 01 2014 10:59	gaara	toujours la même erreur chez moi	toujours la même erreur chez moi
		answerPositively	execution														nov. 01 2014 11:00	nesthib	oui je viens de voir ça	oui je viens de voir ça
					inform	satisfied											nov. 01 2014 11:00	nesthib	alors que ça fonctionne parfaitement depuis une session toujours connectée	alors que ça fonctionne parfaitement depuis une session toujours connectée
																	nov. 01 2014 11:01	yann2	http://fluxbb.org/forums/viewtopic.php?id=8001	http://fluxbb.org/forums/viewtopic.php?id=8001
inform									inform	happy					uncertain		nov. 01 2014 11:02	yann2	j espere que le forum est bien a jour :)	j espere que le forum est bien a jour :)
																	nov. 01 2014 11:06	obirage	bonjour a tous	bonjour a tous
																	nov. 01 2014 11:06	gaara	salut	salut
		requestForInformation										introduceTopic					nov. 01 2014 11:06	obirage	est il possible de détecter si une fenetre est maximisée avec devilspie ?	est il possible de détecter si une fenetre est maximisée avec devilspie?
									inform	love							nov. 01 2014 11:06	obirage	(je voudrais retirer la bordure si elle est maximisée )	(je voudrais retirer la bordure si elle est maximisée)
																	nov. 01 2014 11:09	gaara	je ne sais pas obirage	je ne sais pas obirage
					inform	satisfied											nov. 01 2014 11:13	yann2	ah bon ca remarche :)	ah bon ca remarche :)
					inform	satisfied							partial				nov. 01 2014 11:14	yann2	enfin la page d acceuil du forum juste : D	enfin la page d acceuil du forum juste :D
																	nov. 01 2014 11:14	nW44b	ddosez pas	ddosez pas
																	nov. 01 2014 11:14	nW44b	le forum à coup de f5	le forum à coup de f5
																	nov. 01 2014 11:15	nesthib	1	1
					inform	satisfied											nov. 01 2014 11:15	nesthib	j'arrive même pas à voir les logs	j'arrive même pas à voir les logs
							inform	depreciate								ironie	nov. 01 2014 11:15	nesthib	:p	:p
																	nov. 01 2014 11:15	nW44b	sinon ya fping pour ça hein	sinon ya fping pour ça hein
																	nov. 01 2014 11:16	Marmotte	un truc comme ça ? 11:16 (Marmotte)>+ >(obirage) https://code.google.com/p/devilspie-star/issues/detail?id=1	un truc comme ça ? https://code.google.com/p/devilspie-star/issues/detail?id=1
					inform	satisfied								conditional			nov. 01 2014 11:16	Marmotte	j'ai pas testé , mais ça semble correspondre , si c'est valide : D	j'ai pas testé, mais ça semble correspondre, si c'est valide :D
		inform			inform	unsatisfied											nov. 01 2014 11:17	gaara	j'ai toujours un 502 moi	j'ai toujours un 502 moi
																	nov. 01 2014 11:17	obirage	merci ,	merci, je teste :)
		commit															 	\	je teste :)	
		inform			inform	satisfied											nov. 01 2014 11:19	gaara	ah non c'est bon , ça remarche aussi	ah non c'est bon, ça remarche aussi
		inform			inform	unsatisfied											nov. 01 2014 11:20	obirage	visiblement , ça ne fonctionne pas...	visiblement, ça ne fonctionne pas...
		inform			inform	satisfied									uncertain		nov. 01 2014 11:25	gaara	bon ça a l'air de fonctionner , dernier message hier à 22h59 .	bon ça a l'air de fonctionner, dernier message hier à 22h59. Merci nesthib
																	 	\	Merci nesthib	
		correct			inform	unsatisfied											nov. 01 2014 11:26	nesthib	non c'est pas bon gaara il y a toujours des 502	non c'est pas bon gaara il y a toujours des 502
		answerPositively												conditional			nov. 01 2014 11:27	gaara	ah oui , sur certains fils	ah oui, sur certains fils
		correct			inform	unsatisfied											nov. 01 2014 11:29	nesthib	partout en fait , c'est aléatoire	partout en fait, c'est aléatoire
					requestForInformation	satisfied											nov. 01 2014 11:39	olive	ça va mieux là , non ?	ça va mieux là, non ?
																	nov. 01 2014 11:52	Scorp-	Bonjour	Bonjour
																	nov. 01 2014 11:52	Calinou	salut	salut
